Solution ID;Rank;Feasible;Single Objective;Best Iteration;Objective 1;Variable 1;Variable 2;Variable 3;Variable 4;Variable 5;Variable 6;Variable 7;Variable 8;Variable 9;Variable 10;Variable 11;Variable 12;Variable 13;Variable 14;Variable 15;Variable 16;Variable 17;Variable 18;Variable 19;Variable 20;Variable 21;Variable 22;Variable 23;Variable 24;Variable 25;Variable 26;Variable 27;Variable 28;Variable 29;Variable 30;Variable 31;Variable 32;Variable 33;Variable 34;Variable 35;Variable 36;Variable 37;Variable 38;Variable 39;Variable 40;Variable 41;Variable 42;Variable 43;Variable 44;Variable 45;Variable 46;Variable 47;Variable 48;Variable 49;Variable 50;Variable 51;Variable 52;Variable 53;Variable 54;Variable 55;Variable 56;Variable 57;Variable 58;Variable 59;Variable 60;Variable 61;Variable 62;Variable 63;Variable 64;Variable 65;Variable 66;Variable 67;Variable 68;PM
503;11;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;235
532;12;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;-9;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;235
564;13;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;21;11;1;1;1;1;1;11;11;1;235
576;14;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;21;11;1;1;1;1;1;21;11;1;235
577;15;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;-9;11;11;1;1;1;21;11;1;1;1;1;1;11;11;1;235
592;16;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;-9;11;11;1;1;1;21;11;1;1;1;1;1;21;11;1;235
593;17;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;-9;11;11;1;1;1;21;11;1;1;1;1;1;-9;11;1;235
594;18;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;21;11;1;235
595;19;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;11;11;1;235
607;20;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;-9;11;1;235
714;21;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;11;1;1;21;11;1;1;1;1;1;-9;11;1;235
750;22;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;11;1;1;-9;11;1;235
758;23;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;11;1;1;21;11;1;1;11;1;1;-9;11;1;235
759;24;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;-9;1;1;21;11;1;1;21;1;1;-9;11;1;235
770;25;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;-9;1;1;21;11;1;1;11;1;1;-9;11;1;235
771;26;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;11;1;1;21;11;1;1;21;1;1;-9;11;1;235
778;27;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;-9;1;1;21;11;1;1;1;1;1;-9;11;1;235
779;28;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;-9;1;1;21;11;1;1;-9;1;1;-9;11;1;235
781;29;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;21;1;1;-9;11;1;235
825;30;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;31;1;1;-9;11;1;235
841;31;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;41;1;1;-9;11;1;235
869;32;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;-9;1;1;-9;11;1;235
872;33;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;61;1;1;-9;11;1;235
880;34;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;11;1;1;-9;11;1;235
881;35;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;1;235
1102;36;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;11;235
1116;37;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;21;235
1117;38;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;81;235
1129;39;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;61;235
1130;40;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;31;235
1131;41;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;71;235
1141;42;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;41;235
1142;43;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;-9;235
1143;44;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;-9;11;51;235
1213;45;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;1;11;21;235
1224;46;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;1;11;31;235
1225;47;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;1;11;11;235
1226;48;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;-9;235
1237;49;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;11;235
1238;50;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;1;11;-9;235
1240;51;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;1;235
1247;52;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;21;235
1248;53;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;81;235
1259;54;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;71;235
1268;55;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;61;235
1271;56;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;41;235
1282;57;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;31;235
1283;58;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;1;21;11;1;1;1;1;1;11;11;51;235
1487;59;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;11;21;11;1;1;1;1;1;11;11;51;235
1496;60;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;21;21;11;1;1;1;1;1;11;11;51;235
1512;61;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;31;21;11;1;1;1;1;1;11;11;51;235
1669;62;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;1;31;21;11;-9;1;1;1;1;11;11;51;235
1731;63;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;11;31;21;11;-9;1;1;1;1;11;11;51;235
1757;64;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;31;31;21;11;-9;1;1;1;1;11;11;51;235
1758;65;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;-9;31;21;11;-9;1;1;1;1;11;11;51;235
1770;66;1;235;253;235;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;21;21;31;21;11;-9;1;1;1;1;11;11;51;235
270;67;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;21;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;51;1;11;1;240
286;68;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;81;1;11;1;240
325;69;1;240;253;240;11;1;11;1;1;11;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;31;1;11;1;240
367;70;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;11;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;1;1;11;1;240
368;71;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;11;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;1;1;21;1;240
373;72;1;240;253;240;11;1;11;1;1;11;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;11;1;11;1;240
390;73;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;11;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;1;1;11;1;240
420;74;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;11;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;11;11;1;1;1;1;1;1;11;1;240
437;75;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;11;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;1;1;1;1;11;1;240
446;76;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;11;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;11;11;1;1;11;1;1;1;11;1;240
447;77;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;11;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;1;11;1;1;11;1;1;1;11;1;240
488;78;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;11;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;240
504;79;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;11;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;240
505;80;1;240;253;240;11;1;11;1;1;1;11;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;1;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;240
531;81;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;21;11;11;1;1;1;21;11;1;1;1;1;1;1;11;1;240
579;82;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;21;11;11;1;1;1;21;11;1;1;1;1;1;11;11;1;240
581;83;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;1;1;1;1;1;1;1;1;21;11;11;1;1;1;21;11;1;1;1;1;11;11;11;1;240
628;84;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;1;-9;1;1;11;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;11;1;1;1;1;11;1;240
668;85;1;240;253;240;11;1;11;1;1;1;1;11;31;11;11;1;11;1;1;1;1;1;1;11;1;1;1;1;1;1;1;1;1;11;1;1;1;21;11;11;1;21;-9;1;11;-9;1;1;1;1;1;1;1;1;1;1;11;11;11;1;1;1;21;11;1;1;1;1;1;-9;11;1;240
